gsis_id,pfr_player_name,position,season,pick,round,team,college,age,y2_games,y2_points,y3_games,y3_points,y4_games,y4_points,total_games,total_points,y24_ppg,low_sample_flag,is_training,censored_incomplete_arc,best3of4_ppg,expected_ppg_at_pick,residual_ppg,head_b_training_eligible,target_version,curve_version,age_at_draft,age_at_draft_missing,age_at_draft_source,covid_eligibility_flag,covid_eligibility_flag_missing,covid_eligibility_flag_source,transfer_portal_flag,transfer_portal_flag_missing,transfer_portal_flag_source,early_declare,early_declare_missing,early_declare_source,final_college_age,final_college_age_missing,final_college_age_source,height,height_missing,height_source,weight,weight_missing,weight_source,wr_vertical_jump,wr_vertical_jump_missing,wr_vertical_jump_source,wr_meets_athletic_floor,wr_meets_athletic_floor_missing,wr_meets_athletic_floor_source,rb_speed_score,rb_speed_score_missing,rb_speed_score_source,rb_weight,rb_weight_missing,rb_weight_source,rb_3cone,rb_3cone_missing,rb_3cone_source,rb_meets_athletic_floor,rb_meets_athletic_floor_missing,rb_meets_athletic_floor_source,te_weight,te_weight_missing,te_weight_source,te_bmi,te_bmi_missing,te_bmi_source,te_height_adj_speed_score,te_height_adj_speed_score_missing,te_height_adj_speed_score_source,nfl_pick,nfl_pick_missing,nfl_pick_source,nfl_round,nfl_round_missing,nfl_round_source,rb_age_at_draft,rb_age_at_draft_missing,rb_age_at_draft_source,te_age_at_draft,te_age_at_draft_missing,te_age_at_draft_source,wr_dominator_career,wr_dominator_career_missing,wr_dominator_career_source,rb_career_dominator,rb_career_dominator_missing,rb_career_dominator_source,te_career_dominator,te_career_dominator_missing,te_career_dominator_source,wr_market_share_yds,wr_market_share_yds_missing,wr_market_share_yds_source,rb_scrimmage_ypg,rb_scrimmage_ypg_missing,rb_scrimmage_ypg_source,wr_dominator_final,wr_dominator_final_missing,wr_dominator_final_source,wr_breakout_age,wr_breakout_age_missing,wr_breakout_age_source,rb_rec_ypg,rb_rec_ypg_missing,rb_rec_ypg_source,rb_final_dominator,rb_final_dominator_missing,rb_final_dominator_source,te_deep_yard_share,te_deep_yard_share_missing,te_deep_yard_share_source,te_ryptpa_final,te_ryptpa_final_missing,te_ryptpa_final_source,rb_10_yard_split,rb_10_yard_split_missing,rb_10_yard_split_source,rb_ras_composite,rb_ras_composite_missing,rb_ras_composite_source,wr_ras_composite,wr_ras_composite_missing,wr_ras_composite_source,wr_yards_per_reception_career,wr_yards_per_reception_career_missing,wr_yards_per_reception_career_source,te_yards_per_reception_career,te_yards_per_reception_career_missing,te_yards_per_reception_career_source,te_ras_composite,te_ras_composite_missing,te_ras_composite_source,wr_rec_tds_per_game_final,wr_rec_tds_per_game_final_missing,wr_rec_tds_per_game_final_source,rb_school_sp_plus,rb_school_sp_plus_missing,rb_school_sp_plus_source,wr_early_declare,wr_early_declare_missing,wr_early_declare_source,w2_combine_degraded,w2b_cfbd_degraded,yprr_college,yprr_college_missing,yprr_college_source,ryptpa,ryptpa_missing,ryptpa_source,qb_completion_pct_final,qb_completion_pct_final_missing,qb_completion_pct_final_source,qb_yards_per_attempt_final,qb_yards_per_attempt_final_missing,qb_yards_per_attempt_final_source,qb_td_int_ratio_final,qb_td_int_ratio_final_missing,qb_td_int_ratio_final_source,qb_sack_rate_final,qb_sack_rate_final_missing,qb_sack_rate_final_source,rb_yards_per_carry_final,rb_yards_per_carry_final_missing,rb_yards_per_carry_final_source,rb_yards_per_reception_career,rb_yards_per_reception_career_missing,rb_yards_per_reception_career_source
00-0031503,Jameis Winston,QB,2015,1,1,TAM,Florida St.,21.0,16,256.1,13,201.66,11,195.78,40,653.54,16.338,0,1,0,16.3385,,,0,head_b_v3,v3,21.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,1,0,proxy_age_at_draft,20.0,0,proxy_age_at_draft,76.0,0,nfl_combine,231.0,0,nfl_combine,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,0,nfl_data_py,1,0,nfl_data_py,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,0,0,,,,,,,0.653,0,cfbd,8.4,0,cfbd,1.388889,0,cfbd,,1,,,,,,,
00-0032268,Marcus Mariota,QB,2015,2,1,TEN,Oregon,21.0,15,259.94,15,210.48000000000002,14,175.92000000000002,44,646.34,14.69,0,1,0,14.6895,,,0,head_b_v3,v3,21.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,1,0,proxy_age_at_draft,20.0,0,proxy_age_at_draft,76.0,0,nfl_combine,222.0,0,nfl_combine,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,0,nfl_data_py,1,0,nfl_data_py,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,0,0,,,,,,,0.683,0,cfbd,10.0,0,cfbd,10.5,0,cfbd,,1,,,,,,,
00-0031544,Amari Cooper,WR,2015,4,1,OAK,Alabama,21.0,16,232.3,14,158.4,15,215.5,45,606.2,13.471,0,1,0,13.4711,14.8475,-1.3764,1,head_b_v3,v3,21.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,1,0,proxy_age_at_draft,20.0,0,proxy_age_at_draft,73.0,0,nfl_combine,211.0,0,nfl_combine,33.0,0,nfl_combine,1,0,nfl_combine_szekely2023_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,4,0,nfl_data_py,1,0,nfl_data_py,,1,,,1,,0.4719794344473008,0,cfbd,,1,,,1,,0.4533,0,cfbd,,1,,0.46,0,cfbd,18.0,0,cfbd_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,15.52,0,cfbd,,1,,,1,,,1,,,1,,1,0,proxy_age_at_draft,0,0,,1,,3.6718,0,cfbd,,,,,,,,,,,,,,,,,,
00-0031545,Kevin White,WR,2015,7,1,CHI,West Virginia,23.0,4,38.6,1,2.6,3,13.200000000000001,8,54.4,6.8,1,1,0,6.8,10.4961,-3.6961,1,head_b_v3,v3,23.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,0,0,proxy_age_at_draft,22.0,0,proxy_age_at_draft,75.0,0,nfl_combine,215.0,0,nfl_combine,36.5,0,nfl_combine,1,0,nfl_combine_szekely2023_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,7,0,nfl_data_py,1,0,nfl_data_py,,1,,,1,,0.3678718757583111,0,cfbd,,1,,,1,,0.3491,0,cfbd,,1,,0.3702,0,cfbd,21.0,0,cfbd_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,13.32,0,cfbd,,1,,,1,,,1,,,1,,0,0,proxy_age_at_draft,0,0,,1,,2.4682,0,cfbd,,,,,,,,,,,,,,,,,,
00-0032241,Todd Gurley,RB,2015,10,1,STL,Georgia,21.0,16,198.20000000000002,15,385.3,14,372.1,45,955.6,21.236,0,1,0,21.2356,19.6562,1.5794,1,head_b_v3,v3,21.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,1,0,proxy_age_at_draft,20.0,0,proxy_age_at_draft,73.0,0,nfl_combine,222.0,0,nfl_combine,,1,,,1,,106.37,0,combine_barnwell2008,222.0,0,nfl_combine,,1,,1,0,combine_szekely2023_proxy,,1,,,1,,,1,,10,0,nfl_data_py,1,0,nfl_data_py,21.0,0,nfl_data_py,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,27.6,0,cfbd_sp_plus,,1,,0,0,,,,,,,,,,,,,,,,,,,,1,,,1,
00-0031547,DeVante Parker,WR,2015,14,1,MIA,Louisville,22.0,15,154.4,13,130.0,11,60.9,39,345.3,8.854,0,1,0,8.8538,10.4961,-1.6423,1,head_b_v3,v3,22.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,0,0,proxy_age_at_draft,21.0,0,proxy_age_at_draft,75.0,0,nfl_combine,209.0,0,nfl_combine,36.5,0,nfl_combine,1,0,nfl_combine_szekely2023_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,14,0,nfl_data_py,1,0,nfl_data_py,,1,,,1,,0.24954212454212454,0,cfbd,,1,,,1,,0.2713,0,cfbd,,1,,0.2745,0,cfbd,18.0,0,cfbd_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,18.13,0,cfbd,,1,,,1,,,1,,,1,,0,0,proxy_age_at_draft,0,0,,1,,1.7173,0,cfbd,,,,,,,,,,,,,,,,,,
00-0032144,Melvin Gordon,RB,2015,15,1,SDG,Wisconsin,22.0,13,250.60000000000002,16,288.1,12,275.5,41,814.2,19.859,0,1,0,19.8585,19.6562,0.2023,1,head_b_v3,v3,22.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,0,0,proxy_age_at_draft,21.0,0,proxy_age_at_draft,73.0,0,nfl_combine,215.0,0,nfl_combine,,1,,,1,,103.02,0,combine_barnwell2008,215.0,0,nfl_combine,7.04,0,nfl_combine,1,0,combine_szekely2023_proxy,,1,,,1,,,1,,15,0,nfl_data_py,1,0,nfl_data_py,22.0,0,nfl_data_py,,1,,,1,,0.6038162311080069,0,cfbd,,1,,,1,,,1,,,1,,,1,,,1,,0.4102,0,cfbd,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,20.8,0,cfbd_sp_plus,,1,,0,0,,,,,,,,,,,,,,,,,,,7.5599,0,cfbd,11.05,0,cfbd
00-0031549,Nelson Agholor,WR,2015,20,1,PHI,USC,22.0,15,87.9,16,187.5,16,165.4,47,440.8,9.379,0,1,0,9.3787,10.3868,-1.0081,1,head_b_v3,v3,22.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,0,0,proxy_age_at_draft,21.0,0,proxy_age_at_draft,72.0,0,nfl_combine,198.0,0,nfl_combine,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,20,0,nfl_data_py,1,0,nfl_data_py,,1,,,1,,0.3241003032237472,0,cfbd,,1,,,1,,0.346,0,cfbd,,1,,0.3258,0,cfbd,20.0,0,cfbd_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,14.29,0,cfbd,,1,,,1,,,1,,,1,,0,0,proxy_age_at_draft,0,0,,1,,2.6587,0,cfbd,,,,,,,,,,,,,,,,,,
00-0032054,Breshad Perriman,WR,2015,26,1,BAL,Central Florida,21.0,15,101.1,11,17.7,10,62.2,36,181.0,5.028,0,1,0,5.0278,10.3868,-5.359,1,head_b_v3,v3,21.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,1,0,proxy_age_at_draft,20.0,0,proxy_age_at_draft,74.0,0,nfl_combine,212.0,0,nfl_combine,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,26,0,nfl_data_py,1,0,nfl_data_py,,1,,,1,,0.3662961752206604,0,cfbd,,1,,,1,,0.3273,0,cfbd,,1,,0.3887,0,cfbd,20.0,0,cfbd_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,20.07,0,cfbd,,1,,,1,,,1,,,1,,1,0,proxy_age_at_draft,0,0,,1,,2.1779,0,cfbd,,,,,,,,,,,,,,,,,,
00-0032208,Phillip Dorsett,WR,2015,29,1,IND,Miami (FL),22.0,15,98.80000000000001,9,32.1,11,81.9,35,212.8,6.08,0,1,0,6.08,10.2078,-4.1278,1,head_b_v3,v3,22.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,0,0,proxy_age_at_draft,21.0,0,proxy_age_at_draft,70.0,0,nfl_combine,185.0,0,nfl_combine,37.0,0,nfl_combine,1,0,nfl_combine_szekely2023_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,29,0,nfl_data_py,1,0,nfl_data_py,,1,,,1,,0.32634893576721835,0,cfbd,,1,,,1,,0.3125,0,cfbd,,1,,0.3608,0,cfbd,19.0,0,cfbd_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,17.99,0,cfbd,,1,,,1,,,1,,,1,,0,0,proxy_age_at_draft,0,0,,1,,2.1125,0,cfbd,,,,,,,,,,,,,,,,,,
